fundoo,base,be,30323,Mon Nov  5 03:14:05 2018,['3032163601067'],['Thuis'],16.99,14.44,
fundoo,base,be,62805,Mon Nov  5 03:14:07 2018,['8711269946887'],['Thuis'],8.99,,,
fundoo,base,be,36044,Mon Nov  5 03:14:08 2018,['5055285401979'],['Thuis'],29.99,20.99,
fundoo,base,be,16256,Mon Nov  5 03:14:09 2018,['8715839042498'],"['Thuis', 'Trampolines']",329.0,279.65,
fundoo,base,be,73287,Mon Nov  5 03:14:09 2018,['4010070392758'],['Thuis'],5.95,,,
fundoo,base,be,11065,Mon Nov  5 03:14:10 2018,['8712930067344'],"['Thuis', 'Baby & peuter', 'Baby op stap']",89.99,,,
fundoo,base,be,59730,Mon Nov  5 03:14:10 2018,['0800857708216'],"['Thuis', 'Baby & peuter', 'Baby verzorging', 'Babypotjes']",10.99,,,
fundoo,base,be,38241,Mon Nov  5 03:14:11 2018,['5051892196789'],['Thuis'],14.99,,,
fundoo,base,be,63181,Mon Nov  5 03:14:15 2018,['5410574458261'],['Thuis'],5.49,,,
fundoo,base,be,10166,Mon Nov  5 03:14:16 2018,['5420023135704'],['Thuis'],5.99,,,
fundoo,base,be,48151,Mon Nov  5 03:14:16 2018,['5400552087583'],['Thuis'],129.9,,,
fundoo,base,be,42915,Mon Nov  5 03:14:19 2018,['8714572656092'],"['Thuis', 'Speelfiguren', 'Speelfiguren Meisjes', 'k3']",2.5,,,
fundoo,base,be,63199,Mon Nov  5 03:14:18 2018,['5410574456816'],['Thuis'],2.99,,,
fundoo,base,be,22457,Mon Nov  5 03:14:18 2018,['8711277376362'],['Thuis'],2.99,,,
fundoo,base,be,13759,Mon Nov  5 03:14:18 2018,['8714274020276'],['Thuis'],7.99,6.79,
fundoo,base,be,2179,Mon Nov  5 03:14:20 2018,['0078257559534'],"['Thuis', 'Zwembaden', 'Waterspeelgoed', 'Duikbrillen en snorkels']",13.97,,,
fundoo,base,be,64430,Mon Nov  5 03:14:22 2018,['8595054258009'],['Thuis'],12.49,,,
fundoo,base,be,63394,Mon Nov  5 03:14:23 2018,['4010070226060'],['Thuis'],34.95,,,
fundoo,base,be,68331,Mon Nov  5 03:14:25 2018,['09789076174198'],['Thuis'],19.9,,,
fundoo,base,be,16886,Mon Nov  5 03:14:25 2018,['8717371824082'],"['Thuis', 'Tuin', 'Barbecues', 'Gasbarbecues', 'Alle barbecues']",1099.0,,,
fundoo,base,be,34480,Mon Nov  5 03:14:26 2018,['5414057514055'],"['Thuis', 'Buitenspeelgoed', 'Skate en step', 'Inline skates']",49.99,,,
fundoo,base,be,30783,Mon Nov  5 03:14:29 2018,['4009803039923'],['Thuis'],7.99,6.79,
fundoo,base,be,73659,Mon Nov  5 03:14:29 2018,['09789002265334'],['Thuis'],6.99,,,
fundoo,base,be,31380,Mon Nov  5 03:14:29 2018,['0711719870050'],['Thuis'],54.99,,,
fundoo,base,be,14357,Mon Nov  5 03:14:29 2018,['5411217213476'],['Thuis'],17.99,,,
fundoo,base,be,32096,Mon Nov  5 03:14:29 2018,['8711277106020'],['Thuis'],1.0,,,
fundoo,base,be,23973,Mon Nov  5 03:14:33 2018,['5420007132965'],"['Thuis', 'Baby & peuter', 'Baby verzorging']",249.99,,,
fundoo,base,be,11969,Mon Nov  5 03:14:33 2018,['0605566112756'],"['Thuis', 'Baby & peuter', '0-maanden', '0m Mobiel']",84.99,72.24,
fundoo,base,be,25576,Mon Nov  5 03:14:34 2018,['8719202549669'],['Thuis'],4.99,,,
fundoo,base,be,68173,Mon Nov  5 03:14:34 2018,['4001868007503'],['Thuis'],3.99,3.39,
fundoo,base,be,42340,Mon Nov  5 03:14:34 2018,['8411485005808'],"['Thuis', 'Buitenspeelgoed']",169.99,43.35,
fundoo,base,be,36999,Mon Nov  5 03:14:34 2018,['8712364575385'],"['Thuis', 'Verkleden', 'Accessoires', 'Pruiken']",19.99,,,
fundoo,base,be,1180,Mon Nov  5 03:14:35 2018,['9789021548326'],['Thuis'],24.95,,,
fundoo,base,be,58188,Mon Nov  5 03:14:36 2018,['5410631062943'],['Thuis'],2.79,,,
fundoo,base,be,48461,Mon Nov  5 03:14:36 2018,['5410574425805'],['Thuis'],4.49,,,
fundoo,base,be,69261,Mon Nov  5 03:14:36 2018,['5060231635513'],['Thuis'],7.99,,,
fundoo,base,be,18411,Mon Nov  5 03:14:36 2018,['5415187702763'],['Thuis'],68.0,47.6,
fundoo,base,be,18224,Mon Nov  5 03:14:37 2018,['5702015130837'],['Thuis'],89.99,,,
fundoo,base,be,36111,Mon Nov  5 03:14:37 2018,['8056379008095'],"['Thuis', 'Microfoons']",19.99,,,
fundoo,base,be,60643,Mon Nov  5 03:14:38 2018,['8713291443686'],"['Thuis', 'Baby & peuter', 'Houten speelgoed']",69.99,,,
fundoo,base,be,49414,Mon Nov  5 03:14:38 2018,['5413407049513'],"['Thuis', 'Kinderspellen', 'Kind actie']",34.99,28.04,
fundoo,base,be,36389,Mon Nov  5 03:14:39 2018,['0610934967623'],['Thuis'],17.0,,,
fundoo,base,be,31384,Mon Nov  5 03:14:43 2018,['0045496334581'],['Thuis'],44.99,,,
fundoo,base,be,33646,Mon Nov  5 03:14:43 2018,['8713291335158'],"['Thuis', 'Baby & peuter', 'Baby op stap', 'Accessoires']",8.99,,,
fundoo,base,be,50596,Mon Nov  5 03:14:44 2018,['4008789092717'],['Thuis'],17.99,15.29,
fundoo,base,be,7655,Mon Nov  5 03:14:44 2018,['4005556283682'],"['Thuis', 'Ravensburger']",19.99,16.99,
fundoo,base,be,46889,Mon Nov  5 03:14:44 2018,['5420047214171'],['Thuis'],15.99,11.19,
fundoo,base,be,7280,Mon Nov  5 03:14:45 2018,['4897047691058'],"['Thuis', 'Drumstellen']",74.99,50.99,
fundoo,base,be,36986,Mon Nov  5 03:14:46 2018,['0053941185879'],"['Thuis', 'Speelfiguren', 'Speelfiguren Jongens', 'pokemon']",16.99,,,
fundoo,base,be,25139,Mon Nov  5 03:14:47 2018,['8711277174937'],"['Thuis', 'Tuin', 'Tuinfeest', 'Decoratie', 'Tuindecoratie']",3.5,,,
fundoo,base,be,35646,Mon Nov  5 03:14:48 2018,['8719152902453'],"['Thuis', 'Volwassen feest', 'Thema Party', 'Hawaï']",3.99,,,
fundoo,base,be,58620,Mon Nov  5 03:14:48 2018,['9321104863522'],"['Thuis', 'Baby & peuter', '0-maanden', '0m Doudou']",12.99,11.04,
fundoo,base,be,9551,Mon Nov  5 03:14:48 2018,['5414301245025'],['Thuis'],59.99,50.99,
fundoo,base,be,43074,Mon Nov  5 03:14:49 2018,['0045496452339'],['Thuis'],319.0,,,
fundoo,base,be,63450,Mon Nov  5 03:14:49 2018,['4010070371180'],['Thuis'],34.95,,,
fundoo,base,be,7283,Mon Nov  5 03:14:50 2018,['4897047690099'],"['Thuis', 'Gitaren']",29.99,25.49,
fundoo,base,be,27669,Mon Nov  5 03:14:51 2018,['0013051368036'],"['Thuis', 'Kinderfeest', 'Thema', 'Minnie Mouse']",2.99,,,
fundoo,base,be,24510,Mon Nov  5 03:14:51 2018,['8715347512612'],"['Thuis', 'Buitenspeelgoed', 'Fietsjes', 'Kinderfietsen']",129.99,110.49,
fundoo,base,be,63249,Mon Nov  5 03:14:51 2018,['5410574445506'],['Thuis'],16.99,,,
fundoo,base,be,15172,Mon Nov  5 03:14:51 2018,['5411159124960'],['Thuis'],9.99,6.99,
fundoo,base,be,59864,Mon Nov  5 03:14:52 2018,['5414240813545'],['Thuis'],16.99,11.89,
fundoo,base,be,25755,Mon Nov  5 03:14:53 2018,['3700392472306'],['Thuis'],4.99,4.24,
fundoo,base,be,48095,Mon Nov  5 03:14:52 2018,['5400552342897'],['Thuis'],70.0,,,
fundoo,base,be,62986,Mon Nov  5 03:14:52 2018,['4010070353988'],['Thuis'],19.95,,,
fundoo,base,be,33975,Mon Nov  5 03:14:55 2018,['8718532217798'],"['Thuis', 'Tuin', 'Tuinfeest', 'Decoratie', 'Tuindecoratie']",9.99,,,
fundoo,base,be,10935,Mon Nov  5 03:14:54 2018,['0082686053242'],['Thuis'],12.99,,,
fundoo,base,be,56320,Mon Nov  5 03:14:55 2018,['5051892187497'],['Thuis'],14.99,,,
fundoo,base,be,27022,Mon Nov  5 03:14:55 2018,['8714572192347'],"['Thuis', 'België']",3.99,,,
fundoo,base,be,29710,Mon Nov  5 03:14:55 2018,['4009803052106'],['Thuis'],19.99,16.99,
fundoo,base,be,19706,Mon Nov  5 03:14:58 2018,['5414233182610'],['Thuis'],14.99,,,
fundoo,base,be,46673,Mon Nov  5 03:14:58 2018,['5414240803850'],"['Thuis', 'Baby & peuter', 'Baby kleding', 'Baby T-Shirt']",21.99,15.39,
fundoo,base,be,32808,Mon Nov  5 03:15:00 2018,['3138522069650'],['Thuis'],39.99,,,
fundoo,base,be,61190,Mon Nov  5 03:15:00 2018,['5201184815120'],['Thuis'],1.99,,,
fundoo,base,be,36734,Mon Nov  5 03:15:01 2018,['8712026970077'],"['Thuis', 'Verkleden', 'Accessoires', 'Hoeden En Hoofddeksels']",4.99,,,
fundoo,base,be,65883,Mon Nov  5 03:15:01 2018,['4014732300815'],['Thuis'],2.99,2.54,
fundoo,base,be,48083,Mon Nov  5 03:15:02 2018,['8718924514832'],['Thuis'],3.29,,,
fundoo,base,be,66483,Mon Nov  5 03:15:02 2018,['09789000363100'],['Thuis'],9.99,,,
